PREC_2019,NeighRep,pvi,,,
7041,PORTOLA,0,,,
9724,LAKE MERCED,0.93490941,,,
9723,LAKE MERCED,2.351517297,,,
9725,LAKE MERCED,3.563034681,,,
9451,SUNSET,5.434823157,,,
7949,PORTOLA,9.24942107,,,
7049,VISITA VLY,10.1883572,,,
9727,W TWIN PKS,10.69709313,,,
9732,W TWIN PKS,12.4744217,,,
9728,W TWIN PKS,13.22569019,,,
7051,VISITA VLY,13.27928492,,,
9204,MAR/PAC HTS,14.27176779,,,
9206,MAR/PAC HTS,15.00262235,,,
9731,W TWIN PKS,15.54632483,,,
9742,W TWIN PKS,15.65725998,,,
9729,W TWIN PKS,16.66903464,,,
9203,MAR/PAC HTS,17.19913154,,,
7045,VISITA VLY,17.21197757,,,
7039,VISITA VLY,17.24069121,,,
7026,BAYVW/HTRSPT,17.33740869,,,
9449,SUNSET,17.7217712,,,
7030,BAYVW/HTRSPT,17.90631007,,,
7328,CVC CTR/DWTN,17.9962658,,,
9453,SUNSET,18.43168861,,,
9419,SUNSET,18.50648271,,,
9221,MAR/PAC HTS,19.12074237,,,
1131,EXCELSIOR,19.37624857,,,
9433,SUNSET,19.63785852,,,
1121,EXCELSIOR,19.64516,,,
1122,EXCELSIOR,19.72277787,,,
9444,SUNSET,19.99976053,,,
9437,SUNSET,20.38941571,,,
9721,W TWIN PKS,20.57931528,,,
7956,PORTOLA,20.69828397,,,
9431,SUNSET,20.82729537,,,
7038,VISITA VLY,21.16006548,,,
7951,PORTOLA,21.53350079,,,
9217,MAR/PAC HTS,21.65645523,,,
9746,W TWIN PKS,22.12188544,,,
7947,PORTOLA,22.54715674,,,
9734,W TWIN PKS,22.86611126,,,
9427,SUNSET,22.95592276,,,
7048,VISITA VLY,23.03697672,,,
9438,SUNSET,23.22765652,,,
7047,VISITA VLY,23.28993949,,,
9429,SUNSET,23.64943976,,,
7608,CVC CTR/DWTN,23.75059759,,,
7952,PORTOLA,23.78518183,,,
7036,VISITA VLY,23.90394046,,,
9436,SUNSET,24.01968514,,,
7034,BAYVW/HTRSPT,24.20853412,,,
9418,SUNSET,24.43570426,,,
1128,EXCELSIOR,24.45681481,,,
9713,W TWIN PKS,24.66464687,,,
9446,SUNSET,25.09212057,,,
9735,W TWIN PKS,25.13050751,,,
9235,SECLF/PREHTS,25.31335457,,,
7052,BAYVW/HTRSPT,25.61619268,,,
7016,BAYVW/HTRSPT,25.72787677,,,
7046,VISITA VLY,25.73620068,,,
7033,BAYVW/HTRSPT,25.89537893,,,
7955,PORTOLA,26.17164518,,,
9207,MAR/PAC HTS,26.34914671,,,
9215,MAR/PAC HTS,26.39514958,,,
1125,EXCELSIOR,26.46737305,,,
9452,SUNSET,26.66722435,,,
7953,PORTOLA,26.79017679,,,
9428,SUNSET,26.99347882,,,
7053,BAYVW/HTRSPT,26.99633087,,,
9722,W TWIN PKS,26.99954034,,,
1133,EXCELSIOR,27.37263594,,,
9716,W TWIN PKS,27.39747865,,,
9432,SUNSET,27.48679493,,,
7024,BAYVW/HTRSPT,27.57407534,,,
9233,SECLF/PREHTS,27.61401355,,,
9211,MAR/PAC HTS,27.67999818,,,
7031,BAYVW/HTRSPT,27.68113917,,,
9756,EXCELSIOR,27.93817983,,,
9707,W TWIN PKS,27.9805765,,,
7327,CHINA,28.02181006,,,
7044,BAYVW/HTRSPT,28.14178731,,,
1127,EXCELSIOR,28.28271646,,,
9714,W TWIN PKS,28.4459707,,,
7705,W TWIN PKS,28.44992144,,,
9218,MAR/PAC HTS,28.45264073,,,
7025,BAYVW/HTRSPT,28.87399381,,,
9425,SUNSET,29.06174464,,,
7018,BAYVW/HTRSPT,29.16397024,,,
9417,SUNSET,29.34417928,,,
9216,MAR/PAC HTS,29.37815214,,,
9435,SUNSET,29.38143112,,,
9228,SECLF/PREHTS,29.38791198,,,
9709,W TWIN PKS,29.48541523,,,
7314,CHINA,29.49559044,,,
9209,MAR/PAC HTS,29.60523519,,,
1148,EXCELSIOR,29.64245782,,,
9214,MAR/PAC HTS,29.66905239,,,
9439,SUNSET,29.72020586,,,
1132,EXCELSIOR,29.97583642,,,
9224,MAR/PAC HTS,30.21965264,,,
9222,MAR/PAC HTS,30.31073401,,,
7322,CHINA,30.31655908,,,
1136,EXCELSIOR,30.36750424,,,
9135,RICHMOND,30.49967067,,,
9223,MAR/PAC HTS,30.6151694,,,
9719,W TWIN PKS,30.72718151,,,
1117,INGLESIDE,31.12839457,,,
9421,SUNSET,31.17211798,,,
7032,BAYVW/HTRSPT,31.21907583,,,
9208,MAR/PAC HTS,31.31098931,,,
9424,SUNSET,31.5248304,,,
7946,PORTOLA,31.79954016,,,
7054,BAYVW/HTRSPT,31.84224683,,,
9212,MAR/PAC HTS,31.84731447,,,
9442,SUNSET,32.05505674,,,
7656,SOMA,32.16380361,,,
7638,SOMA,32.19054725,,,
7512,WST ADDITION,32.32074642,,,
9715,W TWIN PKS,32.37918423,,,
1126,EXCELSIOR,32.38000973,,,
1129,EXCELSIOR,32.52435697,,,
9422,SUNSET,32.87384825,,,
9426,SUNSET,33.09456133,,,
1135,EXCELSIOR,33.23656463,,,
7023,BAYVW/HTRSPT,33.38266182,,,
1123,INGLESIDE,33.48844103,,,
7321,CHINA,33.59437907,,,
9448,SUNSET,33.60320617,,,
9736,W TWIN PKS,33.67649785,,,
7704,W TWIN PKS,33.81774729,,,
7958,PORTOLA,33.95354165,,,
9738,LAKE MERCED,34.05677648,,,
9447,SUNSET,34.22361712,,,
9405,SUNSET,34.30396275,,,
9748,W TWIN PKS,34.91441507,,,
7338,CVC CTR/DWTN,35.12265382,,,
7019,BAYVW/HTRSPT,35.1285923,,,
9718,W TWIN PKS,35.29586946,,,
9445,SUNSET,35.30233497,,,
7625,SOMA,35.52264681,,,
9423,SUNSET,35.55851792,,,
1153,EXCELSIOR,35.71161668,,,
7027,BAYVW/HTRSPT,35.77189133,,,
9717,W TWIN PKS,35.87553246,,,
9227,SECLF/PREHTS,36.02554439,,,
1134,EXCELSIOR,36.0456519,,,
7642,SOMA,36.06694271,,,
1115,INGLESIDE,36.21258917,,,
1106,INGLESIDE,36.33276417,,,
9213,MAR/PAC HTS,36.42546368,,,
9434,SUNSET,36.67083948,,,
9443,SUNSET,36.92491714,,,
1144,EXCELSIOR,36.94744267,,,
9726,LAKE MERCED,37.24377539,,,
9122,RICHMOND,37.26991599,,,
1113,EXCELSIOR,37.45301459,,,
9234,SECLF/PREHTS,37.47234793,,,
7336,CVC CTR/DWTN,37.83011155,,,
9238,MAR/PAC HTS,37.83099692,,,
7043,BAYVW/HTRSPT,37.83539744,,,
1111,INGLESIDE,37.94077218,,,
9711,W TWIN PKS,37.99966892,,,
9751,W TWIN PKS,38.01731862,,,
7042,VISITA VLY,38.03030271,,,
7207,MAR/PAC HTS,38.16869183,,,
7029,BAYVW/HTRSPT,38.19987811,,,
9101,RICHMOND,38.56664694,,,
7037,VISITA VLY,38.7145396,,,
1109,INGLESIDE,38.81219859,,,
7301,N EMBRCDRO,38.85694636,,,
7017,BAYVW/HTRSPT,39.01497368,,,
1124,INGLESIDE,39.04488127,,,
1141,EXCELSIOR,39.13140976,,,
1114,EXCELSIOR,39.21274015,,,
1107,INGLESIDE,39.23108295,,,
1152,EXCELSIOR,39.29952746,,,
9219,MAR/PAC HTS,39.31445434,,,
9413,SUNSET,39.32050063,,,
7627,SOMA,39.3565614,,,
7641,SOMA,39.38991134,,,
9712,W TWIN PKS,39.50803663,,,
9239,MAR/PAC HTS,39.51131959,,,
9121,RICHMOND,39.59157563,,,
9001,VISITA VLY,39.79437956,,,
9139,RICHMOND,39.96099883,,,
9232,SECLF/PREHTS,40.06592606,,,
9744,LAKE MERCED,40.2531636,,,
7316,CHINA,40.50145948,,,
1118,INGLESIDE,40.71930608,,,
7329,CVC CTR/DWTN,40.89545945,,,
9225,MAR/PAC HTS,40.99761084,,,
1116,INGLESIDE,41.02880026,,,
9406,SUNSET,41.03411309,,,
9138,RICHMOND,41.23924144,,,
9103,RICHMOND,41.33835083,,,
9752,W TWIN PKS,41.49171944,,,
9747,W TWIN PKS,41.51815833,,,
